station_code,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,dominant_topic,purity,poi_count,longitude,latitude,label,supplemented_from,supplemented_station_name,supplemented_via_compound
14141,0.000369237331025269,0.000369747833973194,0.9985217682338,0.000369316726698791,0.000369929874502591,Topic_3,0.9985217682338,349,103.822047087978,1.2655002275182,Mixed-Use & Community,,,
14151,0.888871256721828,0.0277734322359794,0.0277691950677353,0.0277865596004179,0.0277995563740391,Topic_1,0.888871256721828,4,103.812847671446,1.26972276212395,Education & Professional Services,,,
14159,0.125878462125256,0.453959756974669,0.0038383784708479,0.00383800191280507,0.412485400516422,Topic_2,0.453959756974669,33,103.813189895507,1.26993292658595,Dining & Hospitality,,,
14161,0.0353890887200708,0.0353895688436506,0.035385946229771,0.0353883962150485,0.858446999991459,Topic_5,0.858446999991459,3,103.810200137212,1.27073531818366,Retail & Personal Care,,,
14169,0.00824902809129863,0.721676526565505,0.121985045267191,0.00824913754170688,0.139840262534298,Topic_2,0.721676526565505,15,103.8095185911,1.27116554909709,Dining & Hospitality,,,
14179,0.0278807304900958,0.332445902776042,0.0277988490883744,0.583960451537361,0.027914066108127,Topic_4,0.583960451537361,4,103.806397579332,1.27189801763249,Industrial & Automotive,,,
14189,0.756069197997598,0.00504361949981585,0.00503579169552377,0.228819054297134,0.00503233650992755,Topic_1,0.756069197997598,25,103.804116009045,1.27270850254864,Education & Professional Services,,,
14191,0.0094618941577727,0.0654330852021197,0.00946990801536723,0.196877323057942,0.718757789566798,Topic_5,0.718757789566798,13,103.812155513048,1.28119079547808,Retail & Personal Care,,,
14199,0.0681454913404738,0.383752156424089,0.00383828131536276,0.303391891887703,0.240872179032371,Topic_2,0.383752156424089,33,103.812725857601,1.2812995165734,Dining & Hospitality,,,
14201,0.0194613678054016,0.019435247299866,0.251011371051982,0.253249513840936,0.456842500001814,Topic_5,0.456842500001814,6,103.809236909812,1.28164446134063,Retail & Personal Care,,,
14209,0.00334435860010438,0.0033448016589287,0.718301280656292,0.132734276851636,0.142275282233039,Topic_3,0.718301280656292,38,103.809540147689,1.28174131714769,Mixed-Use & Community,,,
14211,0.955607685837809,0.0110975349940268,0.0110843978238651,0.0111071597063275,0.0111032216379715,Topic_1,0.955607685837809,11,103.805313410193,1.28163620863283,Education & Professional Services,,,
14219,0.185879417981612,0.00826440326049357,0.00825320264933365,0.376307724200132,0.421295251908429,Topic_5,0.421295251908429,15,103.807048082414,1.28219597742391,Retail & Personal Care,,,
14229,0.0121249297761492,0.0121891680308652,0.0121498873654622,0.0121266788296931,0.95140933599783,Topic_5,0.95140933599783,10,103.828524121524,1.27378733867916,Retail & Personal Care,,,
14239,0.00947077837221567,0.00951244999322103,0.00946797271981589,0.349117289534116,0.622431509380631,Topic_5,0.622431509380631,13,103.827183192621,1.27182562254151,Retail & Personal Care,,,
14241,0.0278399563120458,0.0278482105108957,0.0277821222591921,0.0277671410773639,0.888762569840503,Topic_5,0.888762569840503,4,103.816894479425,1.27928322284117,Retail & Personal Care,,,
14249,0.379805352430197,0.0277923090003331,0.0278376867817301,0.0278006218452393,0.536764029942501,Topic_5,0.536764029942501,4,103.817365949649,1.27938025695765,Retail & Personal Care,,,
14259,0.00296146159318236,0.727181483803243,0.156011928193188,0.0526936389595691,0.0611514874508178,Topic_2,0.727181483803243,43,103.818611211471,1.27781705701759,Dining & Hospitality,,,
14269,0.00326274140900656,0.149427158421796,0.253190032224002,0.153172026197452,0.440948041747744,Topic_5,0.440948041747744,39,103.819997750863,1.27757873644125,Retail & Personal Care,,,
14271,0.0353851607241089,0.442545305947493,0.0353993034219703,0.035385144588159,0.451285085318268,Topic_5,0.451285085318268,3,103.819202029619,1.27562625437432,Retail & Personal Care,,,
14279,0.0149318506912875,0.0149296818664648,0.0149407447067228,0.122679076619465,0.832518646116059,Topic_5,0.832518646116059,8,103.819266711212,1.27587497589208,Retail & Personal Care,,,
14281,0.00546091474274913,0.930263174526085,0.00546200249206451,0.0533451443398317,0.00546876389927013,Topic_2,0.930263174526085,23,103.818008294853,1.27705005614499,Dining & Hospitality,,,
14291,0.351907231021709,0.035423220573411,0.0353899394121366,0.0354290532204839,0.54185055577226,Topic_5,0.54185055577226,3,103.821267130299,1.27471777247166,Retail & Personal Care,,,
14299,0.0194121045932054,0.0194189713135294,0.0194303606352599,0.0194130350143528,0.922325528443653,Topic_5,0.922325528443653,6,103.821363205512,1.27488325633679,Retail & Personal Care,,,
